track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity,youtube_views,youtube_likes,tiktok_posts,tiktok_likes,tiktok_views,youtube_playlist_reach,apple_music_playlist_count,airplay_spins,deezer_playlist_count,deezer_playlist_reach,shazam_counts,explicit_track
Iko Iko (My Bestie),Iko Iko (feat. Small Jam),Justin Wellington,2019-06-03,QZFYX1950028,1901,33.3,314672402.0,85038.0,16060938.0,64.0,203831150.0,1327160.0,2909294.0,336713853.0,3345046787.0,8287270.0,72.0,212908.0,39.0,268404.0,8651171.0,0
Beat Of Your Heart,Beat Of Your Heart - Single,Purple Disco Machine,2024-01-26,DEE862301861,1902,33.3,21179750.0,3144.0,19059841.0,67.0,7849267.0,75556.0,182364.5,27141268.0,265551910.0,58998674.0,44.0,81555.0,63.0,7355939.0,903827.0,0
Low Life,EVOL,Future,2016-02-12,USSM11600557,1897,33.3,884825594.0,165579.0,32192169.0,72.0,838504706.0,3635933.0,14065.0,3965043.0,39734161.0,151660163.0,74.0,7064.0,66.0,255865.0,4453169.0,1
Oi Erro - Ao Vivo,Oi Erro (Ao Vivo),Simone Mendes,2023-03-24,BRUM72202351,1899,33.3,23883628.0,1390.0,2563092.0,51.0,341471782.0,1328954.0,182364.5,450726.0,5358634.0,1018907021.0,3.0,173.0,7.0,164494.0,7075.0,0
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,2018-01-19,GBAHS1701239,1893,33.3,1124147912.0,131363.0,33090658.0,65.0,705027078.0,3320463.0,718998.0,18900715.0,202227585.0,250146204.0,13.0,116212.0,65.0,1197102.0,903827.0,0
Been Like This,Been Like This,Meghan Trainor,2024-03-14,USSM12401540,1903,33.2,44441672.0,3110.0,21182930.0,24.0,6534998.0,164262.0,182364.5,7764642.0,95682600.0,186561065.0,33.0,38516.0,30.0,865129.0,190730.0,0
Rich Baby Daddy (feat. Sexyy Red & SZA),For All The Dogs,Drake,2023-10-06,USUG12306108,1910,33.2,372248119.0,6868.0,1527625.0,67.0,147139870.5,1277936.5,182364.5,27141268.0,265551910.0,100962228.0,17.0,115236.0,1.0,31089.0,903827.0,0
Light It Up (feat. Nyla & Fuse ODG) [Remix],Peace Is The Mission,Major Lazer,2015-05-29,QMUY41500182,1907,33.2,1293191157.0,147868.0,30229579.0,72.0,606547382.0,4505365.0,5601.0,1739806.0,19401692.0,207022466.0,209.0,54267.0,71.0,492309.0,10975728.0,0
The Weekend - Funk Wav Remix,The Weekend (Funk Wav Remix),SZA,2017-12-15,USRC11702939,1909,33.2,463298197.0,63764.0,17642317.0,66.0,147139870.5,1277936.5,10092900.0,57608178.0,615951784.0,100962228.0,69.0,5950.0,27.0,93791.0,1300812.0,0
Un Coco,Un Verano Sin Ti,Bad Bunny,2022-05-06,QM6MZ2214892,1904,33.2,534736940.0,54870.0,16605882.0,73.0,243635144.0,1460980.0,35000.0,53470902.0,327984369.0,20204348.0,11.0,1066.0,1.0,72.0,751985.0,0
Tutu,Tutu,Camilo,2019-08-09,USSD11900263,1908,33.2,594224324.0,50354.0,18628100.0,61.0,903046839.0,6893168.0,691299.0,11745148.0,140587874.0,275575570.0,89.0,13563.0,33.0,215002.0,1100391.0,0
Tadow,Tadow,Masego,2017-10-06,QM24S1703810,1911,33.2,475786302.0,169485.0,31599668.0,72.0,587498816.0,5883117.0,1017927.0,267389439.0,1965697775.0,15937686.0,62.0,3354.0,30.0,138867.0,6595975.0,0
Heart Like A Truck,Heart Like A Truck,Lainey Wilson,2022-05-20,QMRSZ2200986,1906,33.2,156975001.0,21559.0,5658951.0,68.0,96079749.0,597275.0,192794.0,29435568.0,313652545.0,328117737.0,29.0,256048.0,3.0,87459.0,903827.0,0
Honey Boy (feat. Nile Rodgers & Shenseea),Honey Boy (feat. Nile Rodgers & Shenseea) - Single,Purple Disco Machine,2024-05-03,DEE862400579,1905,33.2,19468909.0,2924.0,43639283.0,73.0,1130001.0,20708.0,182364.5,27141268.0,265551910.0,777.0,38.0,13552.0,64.0,1639901.0,134063.0,0
Creeper Star,Creeper Star,Leo Walrus,2022-11-29,GX8MK2200002,1915,33.1,247133830.0,28.0,283.0,2.0,445360465.0,369291.0,1.0,25.0,541.0,100962228.0,29.0,12.0,15.0,230295.0,903827.0,0
Ya Acabo,"DEV, Vol. 2",Marca MP,2021-02-19,QZFZ62111678,1916,33.1,340744110.0,34114.0,13462017.0,65.0,616701633.0,3072699.0,148099.0,24444067.0,229127001.0,16616564.0,8.0,3944.0,3.0,178476.0,1239032.0,0
Love You So,The King Khan & BBQ Show,The King Khan & BBQ Show,2005-01-01,USA3D0700101,1918,33.1,16326628.0,12434.0,3542140.0,44.0,7603329.0,122780.0,35323801.0,18422696340.0,214843956590.0,13579446.0,9.0,215.0,12.0,211251.0,632600.0,0
DOGTOOTH,DOGTOOTH,"Tyler, The Creator",2023-03-27,USQX92301932,1914,33.1,141377619.0,54114.0,7207419.0,66.0,20493982.0,566751.0,2021.0,802527.0,4036849.0,29195879.0,23.0,49738.0,12.0,99533.0,387490.0,1
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version),Taylor Swift,2021-11-12,USUG12103690,1912,33.1,842558786.0,55074.0,40675939.0,74.0,290178261.0,6813320.0,169911.0,110877621.0,743331968.0,25836314.0,86.0,1865.0,9.0,21290.0,827246.0,1
"Srivalli (From ""Pushpa The Rise Part - 01"")","Srivalli (From ""Pushpa The Rise Part - 01"")",Javed Ali,2021-12-14,INS182116113,1917,33.1,125396685.0,6443.0,2952745.0,55.0,672837687.0,6059733.0,182364.5,27141268.0,265551910.0,259045019.0,6.0,5993.0,15.0,230295.0,118884.0,0
Go Back (feat. Julia Church),Go Back (feat. Julia Church),John Summit,2024-05-16,USUG12402628,1913,33.1,12724701.0,3327.0,49830444.0,72.0,147139870.5,1277936.5,182364.5,27141268.0,265551910.0,100962228.0,15.0,1880.0,14.0,1284887.0,71800.0,0
Did It Again,Did It Again,Lil Tecca,2019-07-24,USUG11902664,1923,33.0,440181206.0,87099.0,9847312.0,69.0,109575448.0,1082713.0,3157.0,795005.0,7112170.0,96353373.0,15.0,148.0,12.0,14936.0,391268.0,1
"Kalaastar (From ""Honey 3.0"")","Kalaastar (From ""Honey 3.0"") - Single",Yo Yo Honey Singh,2023-10-15,INZ031413795,1920,33.0,31193454.0,2610.0,1441921.0,67.0,174795453.0,9673740.0,182364.5,27141268.0,265551910.0,100962228.0,2.0,427.0,15.0,230295.0,64971.0,0
"Tshwala Bam (feat. S.N.E, EeQue)","Tshwala Bam (feat. S.N.E, EeQue)",TitoM,2024-02-23,ZA56E2415633,1927,33.0,30674267.0,5326.0,8199508.0,68.0,52613580.0,674511.0,182364.5,64953911.0,934535152.0,26918523.0,29.0,2894.0,7.0,91885.0,903827.0,0
Firestone,Running Hits - 2015.02,Kygo,2015-02-09,SEBGA1400887,1928,33.0,1106264600.0,144992.0,42832108.0,71.0,1040406066.0,4527957.0,19634.0,5987576.0,44057930.0,156656689.0,205.0,42861.0,106.0,894320.0,17246943.0,0
Cheap Thrills,This Is Acting,Sia,2016-01-29,USRC11600201,1924,33.0,699374947.0,88850.0,23034012.0,72.0,1299039980.0,8755006.0,1070394.0,403707523.0,6409931590.0,584819588.0,264.0,265852.0,106.0,1712547.0,903827.0,0
Meridian,Meridian,Dave,2023-08-24,GBUM72306716,1921,33.0,81911061.0,28740.0,4403115.0,3.0,56777570.0,494663.0,43903.0,8852635.0,106000587.0,85442573.0,26.0,5993.0,30.0,865583.0,1019877.0,1
Ten by Ten,Lazy Mechanics,Carrier,2023-02-24,UKMDH2100069,1929,33.0,2265.0,37.0,2401.0,1.0,374193651.0,1023665.0,182364.5,27141268.0,265551910.0,100962228.0,29.0,2.0,15.0,230295.0,51.0,0
Unknown,Unknown,ANNA ASTI,2023-07-14,RUA1D2370675,1922,33.0,17080355.0,5909.0,554886.0,53.0,203425864.0,773896.0,31300.0,2959139.0,33547289.0,435977933.0,17.0,1220.0,15.0,230295.0,1065042.0,0
LOU LOU,LOU LOU - Single,Gabito Ballesteros,2023-10-21,USA2P2350242,1926,33.0,242519709.0,18760.0,16688762.0,67.0,49878848.0,310358.0,48600.0,7116059.0,79422764.0,100962228.0,10.0,1.0,11.0,13121412.0,329048.0,1
Dangerous Woman,Dangerous Woman,Ariana Grande,2016-03-11,USUM71601826,1934,32.9,1120622892.0,104167.0,39070160.0,74.0,1005463648.0,10636477.0,1235857.0,67641088.0,533969522.0,175840192.0,90.0,25667.0,42.0,585777.0,4234563.0,0
ON,MAP OF THE SOUL : 7,BTS,2020-02-21,QM4TX2001949,1939,32.9,452491920.0,26714.0,19212443.0,64.0,945639729.0,27589023.0,216482.0,65951308.0,359662248.0,133249553.0,20.0,9325.0,8.0,242090.0,1247966.0,0
Problem,The Edge (Mixed By G-Wizard & DJ Nino Brown),Ariana Grande,2014-01-01,USUM71405403,1930,32.9,863631428.0,84796.0,36693869.0,70.0,1514451986.0,7876147.0,10083.0,14796760.0,108204850.0,534765125.0,113.0,48871.0,59.0,486595.0,8231077.0,0
Don't Call Me Up,Ivy To Roses (Mixtape),Mabel,2019-01-18,GBUM71808052,1935,32.9,1016283394.0,103794.0,41086368.0,68.0,460509010.0,3376276.0,37205.0,3774501.0,45585575.0,523334750.0,192.0,198355.0,321.0,1173680.0,9406511.0,0
Bodak Yellow,Bodak Yellow,Cardi B,2017-06-16,USAT21701762,1932,32.9,894360950.0,99270.0,29301256.0,66.0,73078701.0,913440.0,2055066.0,42674347.0,324949762.0,2201124.0,247.0,65706.0,41.0,164358.0,6520985.0,1
Latch,Settle,Disclosure,2013-01-01,GBUM71302810,1933,32.9,1017438306.0,174201.0,45341736.0,71.0,569083040.0,3417150.0,202721.0,80786067.0,568058521.0,162617345.0,219.0,25714.0,105.0,1023099.0,15182802.0,0
Mourning,Mourning,Post Malone,2023-05-19,USUM72306015,1938,32.9,160305133.0,35523.0,3552008.0,62.0,51153469.0,760977.0,7354.0,3026171.0,44574455.0,152388969.0,54.0,10192.0,6.0,99943.0,437969.0,1
300 Noches,300 Noches,Belinda,2024-04-25,MXF152301940,1937,32.9,51637997.0,2090.0,37145336.0,78.0,17476503.0,309492.0,182364.5,27141268.0,265551910.0,2635352.0,7.0,2208.0,8.0,1175213.0,131747.0,1
BAIXO,BAIXO,xxanteria,2023-09-19,QZS7J2358214,1942,32.8,101938916.0,14123.0,13264777.0,67.0,65544713.0,996619.0,385086.0,61673120.0,613007025.0,21795577.0,1.0,5993.0,15.0,230295.0,436098.0,0
Asylum,Avana (Deluxe),Olivetheboy,2024-03-01,USQX92400566,1940,32.8,4792243.0,518.0,3436044.0,64.0,3218219.0,32702.0,426600.0,5937072.0,67702628.0,100962228.0,16.0,79.0,2.0,5829.0,480872.0,0
American Boy (No Rap Version),American Boy (Remixes 2024) - Single,Estelle,2024-05-22,QM7YK2300245,1941,32.8,12102307.0,2.0,9001.0,67.0,147139870.5,1277936.5,182364.5,27141268.0,265551910.0,100962228.0,29.0,5993.0,15.0,230295.0,1123232.0,0
ceilings,five seconds flat,Lizzy McAlpine,2022-04-08,GBKPL2280163,1944,32.8,540382129.0,67808.0,85710040.0,76.0,33922247.0,572580.0,681271.0,330884076.0,2631370364.0,237035026.0,76.0,24819.0,31.0,1893859.0,1224138.0,0
Love On The Brain,ANTI (Deluxe),Rihanna,2016-01-28,QM5FT1600120,1943,32.8,1480311407.0,162952.0,72991098.0,78.0,1013766482.0,4126099.0,324.0,755438.0,2054878.0,6397841.0,134.0,65711.0,76.0,690982.0,12739673.0,1
HIBIKI,nadie sabe lo que va a pasar mañana,Bad Bunny,2023-10-13,QMFME2364184,1948,32.7,160821035.0,28905.0,14456501.0,67.0,30126694.0,416875.0,182364.5,17020.0,185582.0,36717.0,11.0,1127.0,6.0,293259.0,141377.0,1
GATITAS SANDUNGUERAS VOL.1,GATITAS SANDUNGUERAS VOL.1,Alvaro Diaz,2024-05-16,USUM72401566,1946,32.7,41517704.0,2895.0,85480305.0,79.0,2080156.0,61973.0,182364.5,27141268.0,265551910.0,100962228.0,22.0,641.0,9.0,329482.0,62200.0,0
Gangsta's Paradise,Gangsta's Paradise (25th Anniversary - Remastered),Coolio,2020-09-25,USTB12000152,1945,32.7,1675750095.0,506.0,66189.0,25.0,147139870.5,1277936.5,182364.5,27141268.0,265551910.0,100962228.0,97.0,5993.0,1.0,1689.0,903827.0,0
Broccoli (feat. Lil Yachty),Broccoli (feat. Lil Yachty) - Single,DRAM,2016-04-06,USUYG1098775,1947,32.7,849055927.0,131131.0,22922803.0,58.0,464235914.0,3109287.0,79224.0,41047197.0,214959368.0,243279146.0,132.0,1110.0,24.0,52127.0,4186604.0,1
LOST!,"Right Place, Wrong Person",RM,2024-05-24,USA2P2421303,1958,32.6,31453044.0,763.0,32866636.0,80.0,8834117.0,1274824.0,182364.5,27141268.0,265551910.0,119265847.0,12.0,65.0,20.0,1287877.0,26633.0,1
Stay (with Alessia Cara),Stay,Zedd,2017-02-23,USUM71700736,1949,32.6,1224136357.0,115858.0,34379868.0,70.0,545665182.0,3985831.0,284610.0,21865997.0,137040499.0,84724507.0,198.0,114985.0,62.0,801546.0,8721927.0,0
YuNg BrAtZ,Revenge,XXXTENTACION,2017-05-16,USUYG1142051,1950,32.6,442472374.0,85567.0,16713395.0,68.0,99029913.0,1622141.0,469276.0,58969522.0,437018233.0,1895476.0,7.0,9.0,15.0,230295.0,1002168.0,1
"Saami Saami (From ""Pushpa The Rise Part - 01"")","Saami Saami (From ""Pushpa The Rise Part - 01"")",Sunidhi Chauhan,2021-12-13,INS182116086,1957,32.6,50831625.0,3101.0,1472504.0,49.0,684136410.0,3996864.0,182364.5,27141268.0,265551910.0,326017670.0,29.0,1833.0,15.0,230295.0,63424.0,0
Thoda Thoda Pyaar,Thoda Thoda Pyaar,Stebin Ben,2021-02-12,INZ031408749,1959,32.6,122853878.0,12736.0,2733790.0,67.0,873576528.0,7386664.0,182364.5,27141268.0,265551910.0,158304094.0,1.0,418.0,15.0,230295.0,348168.0,0
Black And Yellow,Black And Yellow,Wiz Khalifa,2010-09-14,USAT21001800,1960,32.6,636986949.0,141343.0,32621464.0,69.0,1110450147.0,6467597.0,4371.0,347404.0,5188475.0,160510966.0,62.0,2912.0,43.0,203419.0,2807300.0,1
SKEU SKEU (SPEED UP),SKEU SKEU (SPEED UP) (feat. Wilsko & 7ia) - Single,Jogga,2023-09-20,QZTAZ2365806,1956,32.6,18794730.0,5074.0,442006.0,67.0,36216795.0,317463.0,921000.0,75074468.0,831341566.0,55373937.0,1.0,639.0,1.0,9696.0,335476.0,0
Sahara,Sahara,Hensonn,2021-11-16,QMDA72134986,1953,32.6,274961162.0,80300.0,27332775.0,67.0,196021271.0,2844570.0,506126.0,381369913.0,4719697686.0,4466903.0,18.0,707.0,3.0,91280.0,2819281.0,1
"Leke Prabhu Ka Naam (From ""Tiger 3"")","Leke Prabhu Ka Naam (From ""Tiger 3"")",Pritam,2023-10-23,INY092300060,1952,32.6,31783195.0,1189.0,1483697.0,67.0,172518289.0,1926806.0,182364.5,27141268.0,265551910.0,87239915.0,3.0,600.0,1.0,584.0,41934.0,0
Yeah Glo!,Yeah Glo! (Alternate Versions),GloRilla,2024-02-08,USUM72400408,1955,32.6,89513100.0,132.0,63750.0,67.0,147139870.5,1277936.5,182364.5,27141268.0,265551910.0,100962228.0,30.0,78325.0,15.0,230295.0,903827.0,0
The Search,The Search,NF,2019-05-30,USUM71907048,1951,32.6,582823215.0,115214.0,15719606.0,69.0,362990075.0,5824758.0,250470.0,44853064.0,394839659.0,26175375.0,11.0,79.0,9.0,39581.0,3986033.0,0
Save Me (with Lainey Wilson),Whitsitt Chapel,Jelly Roll,2023-06-02,QMRSZ2300371,1972,32.5,247133830.0,33806.5,13496421.5,67.0,147139870.5,1277936.5,182364.5,27141268.0,265551910.0,100962228.0,25.0,261843.0,15.0,230295.0,1373958.0,0
Tacos Gucci,Tacos Gucci - Single,Anuel AA,2024-02-15,QM4TW2467636,1970,32.5,31900914.0,4008.0,6510589.0,67.0,61597694.0,410521.0,182364.5,27141268.0,265551910.0,654207667.0,7.0,2587.0,7.0,154742.0,80932.0,1
wiggy,wiggy,Young Miko,2023-07-21,QZXD92300012,1962,32.5,135841710.0,22636.0,7652807.0,61.0,53263040.0,755107.0,417900.0,106714247.0,1221296456.0,7015965.0,12.0,10927.0,7.0,141200.0,404918.0,1
Nxde,I love,(G)I-DLE,2022-10-17,KRA392200038,1969,32.5,242708368.0,24028.0,7729486.0,66.0,306925934.0,3817854.0,1937.0,4217193.0,28580589.0,190154577.0,12.0,3655.0,4.0,38259.0,452824.0,0
Vaina Loca,Vaina Loca,Ozuna,2018-06-28,USXDR1800901,1963,32.5,818413674.0,68379.0,22527293.0,68.0,1084871772.0,3856569.0,272598.0,6087146.0,66017796.0,355660176.0,38.0,14367.0,34.0,178470.0,1916459.0,0
Street Runner,Street Runner,Rod Wave,2021-03-10,USLD91730830,1961,32.5,163921357.0,36519.0,4018180.0,64.0,296510850.0,1746888.0,55925.0,13288490.0,64791187.0,273349430.0,22.0,3894.0,3.0,61084.0,806043.0,1
Pure Water (with Migos),Pure Water (with Migos),Mustard,2019-01-16,USUM71823137,1971,32.5,726877512.0,145514.0,22684851.0,66.0,383840816.0,2770217.0,69287.0,15400639.0,126460343.0,30375764.0,69.0,1339.0,18.0,141232.0,3804674.0,1
Ay Vamos,Superventas 2015,J Balvin,2014-03-03,MXUM71400922,1966,32.5,385438228.0,51062.0,16368668.0,68.0,2103164374.0,6262143.0,79200.0,6897061.0,55635484.0,271382865.0,54.0,10723.0,44.0,946232.0,4433372.0,0
Samba de Malandro,Samba de Malandro,MC Paulin da Capital,2024-03-14,BXKG22400584,1967,32.5,44365910.0,3206.0,27886603.0,75.0,46212150.0,373922.0,182364.5,27141268.0,265551910.0,132492795.0,7.0,213.0,16.0,9596479.0,81711.0,1
Entre las de 20,Entre las de 20,Bizarrap,2024-04-02,UYB282401008,1968,32.5,100182006.0,4826.0,49679476.0,78.0,16163441.0,136282.0,182364.5,27141268.0,265551910.0,100962228.0,15.0,23.0,6.0,1265160.0,164219.0,1
We Found Love,Talk That Talk (Explicit),Rihanna,2011-01-01,USUM71115507,1965,32.5,1655539775.0,219739.0,111528796.0,79.0,1438850843.0,6775048.0,182364.5,141145.0,831485.0,188422282.0,318.0,192995.0,153.0,2524604.0,12779481.0,0
Barbie World (with Aqua) [From Barbie The Album],Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,2023-06-22,USAT22306162,1964,32.5,470358238.0,7198.0,2204206.0,51.0,147139870.5,1277936.5,182364.5,27141268.0,265551910.0,100962228.0,1.0,182333.0,3.0,13196.0,903827.0,0
Shut up My Moms Calling,Shut up My Moms Calling - Single,Hotel Ugly,2020-02-10,TCAEQ2083509,1983,32.4,864865822.0,155446.0,25122611.0,82.0,119059085.0,1543311.0,391311.0,189326209.0,1722108635.0,4587987.0,3.0,1966.0,5.0,32782.0,1727338.0,0
Hell N Back,Hell N Back (Sped Up),Bakar,2019-08-14,GBARL1900848,1975,32.4,512194074.0,180810.0,58052469.0,71.0,31571952.0,420306.0,349376.0,182982444.0,1524936587.0,305486.0,63.0,103595.0,27.0,5714062.0,2988493.0,1
Stand By Me (feat. Morgan Wallen),Almost Healed,Lil Durk,2023-05-26,USQX92303185,1978,32.4,132870060.0,27561.0,8424250.0,69.0,27715495.0,361926.0,39700.0,4608976.0,62570724.0,174646320.0,36.0,7685.0,10.0,57855.0,393651.0,1
Wake Me Up (Remix),Dance Essentials 2,Nick White,2022-04-01,USY252283746,2192,32.4,2300429829.0,33806.5,13496421.5,67.0,147139870.5,1277936.5,182364.5,27141268.0,265551910.0,100962228.0,29.0,5993.0,15.0,230295.0,903827.0,0
Yaad Piya Ki Aane Lagi,Yaad Piya Ki Aane Lagi,Neha Kakkar,2019-11-16,INS181905489,1976,32.4,86910140.0,8749.0,2989865.0,56.0,626799451.0,4573766.0,4178400.0,44359897.0,569000341.0,73990282.0,5.0,624.0,15.0,230295.0,202049.0,0
A-O-K,A-O-K,Tai Verdes,2021-05-06,USQX92101406,1982,32.4,389915082.0,101681.0,12962599.0,66.0,12456282.0,162382.0,787994.0,412779417.0,3623326028.0,26683.0,57.0,67375.0,9.0,48700.0,1518022.0,1
Shotgun,Staying at Tamara's,George Ezra,2018-03-23,GBARL1701372,1980,32.4,930662973.0,130768.0,32965801.0,71.0,473069489.0,2566614.0,217933.0,11966552.0,114370699.0,78973996.0,142.0,141179.0,55.0,92980.0,7331922.0,0
Kiss Me,Songs of Sonder,Dermot Kennedy,2022-09-02,USUG12201963,1973,32.4,149237160.0,22036.0,6228907.0,65.0,60539963.0,307422.0,40847.0,3087705.0,52556917.0,1935086543.0,39.0,262744.0,22.0,662373.0,2868389.0,0
COCO LOCO,COCO LOCO - Single,Maluma,2023-06-08,USSD12300235,1977,32.4,173609862.0,23712.0,20427970.0,63.0,74811822.0,363158.0,182364.5,27141268.0,265551910.0,86683187.0,53.0,54083.0,39.0,1196130.0,849055.0,0
Sunny Day,Sunny Day,Matteo Rossanese,2021-05-28,QZHN92130190,1974,32.4,5936.0,57.0,785.0,67.0,147139870.5,1277936.5,5914142.0,1502758681.0,14730433978.0,100962228.0,29.0,5993.0,15.0,230295.0,122323.0,0
"High Rated Gabru (From ""High Rated Gabru"")",High Rated Gabru,Guru Randhawa,2017-07-04,INS181701138,1981,32.4,37248788.0,8023.0,1580067.0,50.0,1900711176.0,10412989.0,182364.5,27141268.0,265551910.0,170150228.0,14.0,54.0,15.0,230295.0,276435.0,0
"I spoke to the devil in miami, he said everything would be fine",LOOK AT ME: THE ALBUM,XXXTENTACION,2022-06-10,USQX92202218,1979,32.4,42993944.0,14476.0,4616378.0,58.0,7064950.0,182381.0,813.0,579314.0,6574386.0,197936.0,29.0,5993.0,15.0,230295.0,363684.0,0
Goosebumps,Goosebumps,HVME,2020-06-12,TCAEW2040509,1999,32.3,495274429.0,128838.0,28968321.0,63.0,78671735.0,609580.0,94400.0,23269837.0,354473655.0,92853363.0,120.0,80857.0,54.0,274741.0,2916022.0,1
Aigiri Nandini,Numinosum,Nagavalli,2023-02-10,QZFZ72331100,1998,32.3,247133830.0,5.0,4173.0,67.0,392842852.0,1919579.0,182364.5,27141268.0,265551910.0,796.0,29.0,1.0,15.0,230295.0,7.0,0
Rolex,Rolex,Ayo & Teo,2017-03-15,USSM11702948,1996,32.3,491634627.0,75806.0,13437276.0,62.0,188680059.0,1804608.0,9112818.0,78533802.0,541006747.0,451705.0,44.0,1858.0,21.0,174638.0,4960587.0,0
on one tonight,One of Wun,Gunna,2024-05-10,USAT22403441,1986,32.3,28658023.0,4184.0,26150391.0,77.0,3724826.0,56851.0,182364.5,27141268.0,265551910.0,381728.0,29.0,1.0,15.0,230295.0,903827.0,1
You & Me - Rivo Remix,You & Me (Rivo Remix),Disclosure,2023-12-22,GBUM72310662,1995,32.3,76959761.0,18706.0,48962409.0,76.0,147139870.5,1277936.5,182364.5,27141268.0,265551910.0,100962228.0,33.0,9669.0,43.0,623021.0,958396.0,0
Whiskey On You,Whiskey On You - Single,Nate Smith,2022-05-06,USRN12200053,1985,32.3,193854805.0,33972.0,7580172.0,68.0,24154881.0,173205.0,57547.0,3681829.0,35905755.0,100962228.0,25.0,238344.0,5.0,88296.0,466888.0,0
NO,NO,Meghan Trainor,2016-03-04,USSM11600935,1988,32.3,614050155.0,70723.0,23190101.0,69.0,787010459.0,6661292.0,4283762.0,326320402.0,3071891173.0,227450378.0,78.0,3488.0,35.0,186523.0,8410179.0,0
HP,HP,Maluma,2019-03-01,USSD11900034,1997,32.3,614313540.0,55782.0,18750996.0,64.0,978997170.0,4042367.0,55400.0,6033109.0,48469382.0,214374413.0,59.0,10446.0,42.0,318901.0,1887065.0,1
I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),A$AP Rocky,2023-08-18,USRC12302098,2000,32.3,190634973.0,37824.0,13018777.0,79.0,12371887.0,154516.0,182364.5,27141268.0,265551910.0,100962228.0,3.0,81.0,10.0,94334.0,356345.0,1
I'm a Mess,I'm a Mess,Bebe Rexha,2018-06-15,USWB11800739,1987,32.3,671869078.0,64411.0,10816170.0,65.0,686180183.0,6533684.0,2114156.0,21963781.0,184425042.0,464557294.0,5.0,35003.0,25.0,125171.0,903827.0,0
Un Ratito,Un Verano Sin Ti,Bad Bunny,2022-05-06,QM6MZ2214879,1990,32.3,500671737.0,57541.0,10245525.0,70.0,204437602.0,1398859.0,17700.0,8267001.0,66367676.0,20223201.0,12.0,2271.0,1.0,171943.0,796992.0,0
Mamaw's House,Mamaw's House,Thomas Rhett,2023-09-28,QZRD92303824,1991,32.3,57956846.0,10382.0,8944865.0,67.0,147139870.5,1277936.5,182364.5,60759.0,525525.0,100962228.0,16.0,115837.0,1.0,1930.0,230880.0,0
Sezen Aksu,#1 - EP,Lvbel C5,2024-04-12,FRX282404289,1993,32.3,46650884.0,2613.0,5693826.0,75.0,23179014.0,100874.0,182364.5,27141268.0,265551910.0,100962228.0,8.0,412.0,4.0,1584589.0,265109.0,0
hotline (edit),hotline (edit),Billie Eilish,2023-05-09,USUM72307244,1984,32.3,366169549.0,36901.0,11637721.0,78.0,11642653.0,461148.0,41401.0,33147084.0,242969046.0,128585394.0,5.0,5993.0,4.0,82543.0,3943258.0,0
One More Night,Overexposed Track By Track,Maroon 5,2012-01-01,USUM71203514,1989,32.3,885944426.0,129982.0,34799834.0,73.0,1106757714.0,4773915.0,288627.0,65111526.0,469737119.0,1535620794.0,45.0,102020.0,33.0,207887.0,10178659.0,0
Desconocidos,Desconocidos,Mau y Ricky,2018-10-12,USSD11800344,2006,32.2,757001327.0,53221.0,16642929.0,65.0,1178040262.0,4145589.0,38054.0,5064052.0,41170418.0,162026619.0,54.0,9445.0,30.0,526469.0,1295202.0,1
After Party,Heaven Or Hell,Don Toliver,2020-03-13,USAT22001223,2005,32.2,706711575.0,170468.0,34103511.0,69.0,133159545.0,1623904.0,379039.0,144853884.0,1092802231.0,70837.0,70.0,17736.0,16.0,37040.0,1400011.0,1
Fluxxwave,Fluxxwave,Clovis Reyes,2023-05-07,QZK6N2350050,2002,32.2,88673935.0,17012.0,6135810.0,69.0,171113686.0,2566181.0,241100.0,41298885.0,332392194.0,3165.0,1.0,5993.0,1.0,128640.0,441367.0,0
We Can't Stop,NOW: The Hits Of Summer 2014,Miley Cyrus,2013-01-01,USRC11300686,2003,32.2,970858824.0,117008.0,50397971.0,71.0,1310779877.0,7274419.0,124187.0,43040615.0,343153571.0,547445834.0,140.0,18341.0,72.0,459669.0,6946040.0,0
Buy Dirt,Buy Dirt,Jordan Davis,2021-05-21,USUM72104058,2007,32.2,457254811.0,51641.0,18836339.0,77.0,26485095.0,208483.0,105330.0,32037602.0,280557815.0,100962228.0,34.0,207859.0,1.0,8054.0,958724.0,0
Las Morras,Las Morras,Peso Pluma,2023-04-04,QM4TX2378801,2004,32.2,253711656.0,26015.0,6838351.0,66.0,148812952.0,859486.0,21800.0,6180710.0,79415641.0,294580381.0,17.0,547.0,3.0,197981.0,366772.0,1
Mamichula - con Nicki Nicole,Atrevido,Trueno,2020-07-23,ARRWN2000010,2013,32.1,515582705.0,65906.0,17187107.0,76.0,606811318.0,5460826.0,201700.0,49875266.0,348605056.0,1343753328.0,51.0,4044.0,31.0,406818.0,634470.0,0
